Site; Entreprise; Collecte; Collecte en cours
557;Mcdonald's GARDANNE;VEOLIA;OUI
564;Issoire;PAPREC;OUI
578;Mcdonald's BAUCAIRE;SUEZ;OUI
599;McDonald's Armentières;BAUDELET;OUI
599;McDonald's Armentières;THEYS;OUI
601;McDonald's Longwy Pulventeux;SUEZ;OUI
601;McDonald's Longwy Pulventeux;BARISIEN;OUI
612;Mcdonald's MOUANS-SARTOUX;CANNES ;OUI
612;Mcdonald's MOUANS-SARTOUX;VEOLIA;OUI
615;Mcdonald's LE VIGEN;SUEZ;OUI
620;McDonald's Saint Dizier;SUEZ;OUI
620;McDonald's Saint Dizier;ABCDE;OUI
622;Mcdonald's CAHORS;PAPREC;OUI
622;Mcdonald's CAHORS;RECYGO ;OUI
625;McDonald's Freyming;VEOLIA;OUI
629;Mcdonald's SAINT-DOULCHARD;VEOLIA;OUI
635;McDonald's Porte Autonome;AZURA;OUI
635;McDonald's Porte Autonome;BRANGEON;OUI
636;McDonad's lLille Faubourg;BAUDELET;OUI
636;McDonad's lLille Faubourg;THEYS;OUI
636;McDonad's lLille Faubourg;ALCHIMISTES;OUI
641;Mcdonald's PORTE DE VINCENNES;SUEZ;OUI
641;Mcdonald's PORTE DE VINCENNES;COLLECTIVITE;OUI
641;Mcdonald's PORTE DE VINCENNES;GREENWISHES;OUI
649;McDonald's Istres;PAPREC;OUI
649;McDonald's Istres;SUEZ;OUI
652;Mcdonald's CHATEAUDUN;REFOOD;OUI
654;McDonald's Fenouillet;VEOLIA;OUI
655;Mcdonald's AUTUN;SUEZ;OUI
674;Mcdonald's LEDRU ROLLIN;SUEZ;OUI
674;Mcdonald's LEDRU ROLLIN;GREENWISHES;OUI
695;Mcdonald's YQUELON;ELISE;OUI
695;Mcdonald's YQUELON;SUEZ;OUI
696;Mcdonald's OLIVET;VEOLIA;OUI
697;Mcdonald's CHALON SUR SAONE DUMOREY;SUEZ;OUI
702;Mcdonald's GATTIERES;VEOLIA;OUI
715;Mcdonald's SAINT ORENS;SUEZ;OUI
715;Mcdonald's SAINT ORENS;CLERVERTS;OUI
715;Mcdonald's SAINT ORENS;CLER VERTS;OUI
715;Mcdonald's SAINT ORENS;CLERVERT;OUI
715;McDonald's Saint-Orens;CLER VERT ;OUI
715;Mcdonald's SAINT ORENS;VEOLIA;OUI
719;Mcdonald's LE CREUSOT ;SUEZ;OUI
731;McDonald's Bar Le Duc Centre;ABCDE;OUI
732;Montauban Aussone;SUEZ;OUI
732;Montauban Aussone;VEOLIA;OUI
733;Mcdonald's BAYEUX;COLLECTEA;OUI
733;Mcdonald's BAYEUX;REFOOD;OUI
733;Mcdonald's BAYEUX;VEOLIA;OUI
733;Mcdonald's BAYEUX;DERICHEBOURG;OUI
751;Mcdonald's FONTENAY LE COMTE;REFOOD;OUI
751;Mcdonald's FONTENAY LE COMTE;VEOLIA;OUI
751;Mcdonald's FONTENAY LE COMTE;BRANGEON;OUI
772;Mcdonald's BORDEAUX;BRANGEON;OUI
773;Mcdonald's COSNE COURS SUR LOIRE;REFOOD;OUI
773;Mcdonald's COSNE COURS SUR LOIRE;DERICHEBOURG;OUI
774;Mcdonald's VITRY EN CHAROLLAIS;SUEZ;OUI
775;McDonald's Yutz;SUEZ;OUI
784;Mcdonald's LE COUDRAY;REFOOD;OUI
784;Mcdonald's LE COUDRAY;SUEZ;OUI
793;Romorantin Leclerc;VEOLIA;OUI
801;Mcdonald's Arles;OCEAN;OUI
801;Mcdonald's Arles;BIOVARE;OUI
803;Mcdonald's VIERZON;VEOLIA;OUI
803;Mcdonald's VIERZON;PAPREC;OUI
807;McDonald's Chamonix;TRIALP;OUI
817;Mcdonald's LIMOGES;SUEZ;OUI
817;Mcdonald's LIMOGES;VEOLIA;OUI
819;Haguenau Taubenhof;TRANSMETAUX;OUI
819;Haguenau Taubenhof;SCHROLL;OUI
822;Mcdonald's NEVERS;SUEZ;OUI
824;Mcdonald's CREUTZWALD;SUEZ;OUI
824;Mcdonald's CREUTZWALD;VEOLIA;OUI
832;McDonald's Albert;VEOLIA;OUI
832;McDonald's Albert;PAPREC;OUI
832;McDonald's Albert;REFOOD;OUI
833;TOULON JUIN;PIZZORNO;OUI
833;TOULON JUIN;ALCHIMISTES;OUI
834;McDonald's Perpignan;VEOLIA;OUI
836;Mcdonald's CHECY;REFOOD;OUI
836;Mcdonald's CHECY;VEOLIA;OUI
836;Mcdonald's CHECY;BRANGEON;OUI
836;Mcdonald's CHECY;PAPREC;OUI
837;Mcdonald's AVRILLE;VEOLIA;OUI
837;Mcdonald's AVRILLE;BRANGEON;OUI
838;Mcdonald's AVRANCHES;SUEZ;OUI
839;Mcdonald's ANCENIS-SAINT-GEREON ;BRANGEON;OUI
839;Mcdonald's ANCENIS-SAINT-GEREON ;VEOLIA;OUI
842;McDonald's Vitry Le François;SUEZ;OUI
849;Mcdonald's CHATEAUNEUF LES MARTIGUES;PAPREC;OUI
854;Mcdonald's PARTHENAY;REFOOD;OUI
854;Mcdonald's PARTHENAY;LOCARECUPER;OUI
854;Mcdonald's PARTHENAY;LOCA RECUPER;OUI
858;Mcdonald's BONNEVILLE ;EXCOFFIER;OUI
865;Mcdonald's LE MANS CGR;REFOOD;OUI
865;Mcdonald's LE MANS CGR;PAPREC;OUI
865;Mcdonald's LE MANS CGR;VEOLIA;OUI
883;Mcdonald's AVALLON;SUEZ;OUI
892;McDonald's Draguignan;PIZZORNO;OUI
895;McDonald's Genay;VEOLIA;OUI
895;McDonald's Genay;PAPREC;OUI
895;McDonald's Genay;MARTIN BROWER;OUI
899;Mcdonald's MORLAIX;RECYCLEURS BRETONS;OUI
899;Mcdonald's MORLAIX;RECYCLEURSBRETONS;OUI
899;Mcdonald's MORLAIX;VEOLIA;OUI
899;McDonald's Morlaix;RECYCLEURS BRETON;OUI
906;McDonald's Charcot;VEOLIA;OUI
906;McDonald's Charcot;PAPREC;OUI
925;McDonald's Audun Le Tiche;SUEZ;OUI
